otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,6.27600000,6.97000000,5.10000000,6.27000000,434821.17700000,1609545599999,2558736.98702600,15798,191894.88900000,1135527.07938100,0
1609545600000,6.29300000,6.99900000,5.40000000,5.62800000,360938.90500000,1609631999999,2210294.40658800,13752,174606.54800000,1077730.51152300,0
1609632000000,5.61900000,5.91000000,4.68300000,4.70000000,147846.94600000,1609718399999,765644.17820300,5225,45529.88500000,236378.78987900,0
1609718400000,4.70000000,5.22000000,4.00000000,4.45100000,175943.81000000,1609804799999,807801.25713800,5688,64785.04500000,299072.73090100,0
1609804800000,4.45000000,4.66900000,4.00000000,4.00000000,123029.92600000,1609891199999,535040.97819200,4847,55595.23200000,241822.40711900,0
1609891200000,4.00100000,4.32900000,3.85600000,3.90000000,160570.23800000,1609977599999,641018.46889700,4784,66125.12200000,266155.29041700,0
1609977600000,3.93100000,4.08500000,3.62000000,3.62000000,131899.64000000,1610063999999,498696.54366300,4212,42782.92600000,162865.92666200,0
1610064000000,3.62000000,4.31200000,3.44500000,3.54100000,189515.07800000,1610150399999,707484.36363500,5171,85058.25100000,321171.21777200,0
1610150400000,3.56300000,3.60000000,3.41000000,3.45400000,69911.39900000,1610236799999,243553.32257100,2239,26905.33900000,94048.62328300,0
1610236800000,3.45400000,3.66300000,3.11300000,3.41600000,80627.44400000,1610323199999,276659.90463700,2078,28687.11700000,98309.90901300,0
1610323200000,3.40000000,3.40000000,2.36800000,2.80600000,133360.84300000,1610409599999,373277.10209000,3529,59629.20400000,168579.53680500,0
1610409600000,2.79100000,2.93900000,2.49400000,2.59100000,48094.79500000,1610495999999,129831.03180700,2012,18198.35300000,49319.77263800,0
1610496000000,2.59100000,7.14000000,2.50000000,5.34000000,1872290.18600000,1610582399999,10247583.56693600,50048,1032283.11000000,5693929.72730200,0
1610582400000,5.34000000,6.00000000,4.35600000,4.57000000,1535285.07800000,1610668799999,8043043.95195000,42319,740905.42700000,3909802.66058900,0
1610668800000,4.55500000,5.10100000,4.00100000,4.33000000,777019.31100000,1610755199999,3535953.36078400,37624,384074.23200000,1747636.65416400,0
1610755200000,4.32800000,5.10000000,4.11700000,4.39500000,645494.68200000,1610841599999,2927426.77627600,25846,330643.38100000,1503574.31629700,0
1610841600000,4.40100000,4.41200000,3.90000000,4.20900000,267362.26900000,1610927999999,1121813.95022100,12447,126932.68500000,532713.98934500,0
1610928000000,4.21100000,4.40000000,4.06000000,4.10400000,212766.31900000,1611014399999,895229.36765400,9708,101821.32100000,428325.79848600,0
1611014400000,4.11300000,4.16900000,3.90800000,4.08200000,162518.68400000,1611100799999,658159.15274000,7565,69830.49000000,283074.21188200,0
1611100800000,4.07700000,4.99000000,3.88200000,4.24900000,422065.19100000,1611187199999,1868510.84969200,13990,204168.37200000,906927.77785600,0
1611187200000,4.28700000,4.33500000,3.81000000,3.91000000,170629.41500000,1611273599999,686621.56874100,5805,69350.78500000,279567.12808300,0
1611273600000,3.91100000,4.05500000,3.63600000,3.91800000,71898.13800000,1611359999999,278841.33216800,3105,29765.20200000,115693.05432100,0
1611360000000,3.83300000,3.93600000,3.70300000,3.89500000,75720.89700000,1611446399999,288170.88679800,2865,28441.88600000,108604.79891000,0
1611446400000,3.91800000,3.92500000,3.71500000,3.78000000,59693.99500000,1611532799999,228089.55487800,3200,20586.96700000,78933.14865200,0
1611532800000,3.78000000,3.86700000,3.55000000,3.58700000,96264.44800000,1611619199999,357629.74787900,5066,40399.36100000,151020.95693500,0
1611619200000,3.58700000,3.77100000,3.37200000,3.69100000,151450.47800000,1611705599999,539540.53454500,5829,66755.40600000,239251.22563600,0
1611705600000,3.68800000,3.82200000,3.20000000,3.31800000,177287.51100000,1611791999999,619939.41656600,6316,68161.47800000,240039.63279400,0
1611792000000,3.29300000,4.15000000,3.25100000,3.58100000,261052.67000000,1611878399999,972694.40285000,7781,116534.57500000,435623.12833500,0
1611878400000,3.57900000,3.61100000,3.21000000,3.32100000,208546.21000000,1611964799999,708874.52652300,6543,82397.18500000,282307.21985100,0
1611964800000,3.32100000,3.47900000,3.21100000,3.44800000,95336.79600000,1612051199999,320352.90470900,2755,36645.26700000,123473.83997400,0
1612051200000,3.42100000,3.75000000,3.35700000,3.47900000,278200.28300000,1612137599999,966412.66451400,3662,137797.43800000,480462.26192700,0
1612137600000,3.47900000,4.00100000,3.34500000,3.63700000,178808.42800000,1612223999999,652030.99137600,4224,80181.63200000,292665.75192700,0
1612224000000,3.65400000,4.00000000,3.61600000,3.88900000,333404.67800000,1612310399999,1263458.09521200,4681,168754.39100000,642444.25417600,0
1612310400000,3.89900000,4.55000000,3.84100000,4.16000000,261259.68200000,1612396799999,1101964.02044100,8070,135574.90100000,572416.17965800,0
1612396800000,4.17200000,4.32200000,3.83900000,4.07600000,195179.05000000,1612483199999,788269.99834100,4752,89274.60100000,361185.31137600,0
1612483200000,4.07600000,4.48200000,4.02500000,4.31700000,157982.13500000,1612569599999,673920.28192300,4838,75976.01700000,324100.84789000,0
1612569600000,4.32000000,4.68000000,3.91000000,4.32100000,331155.30300000,1612655999999,1409442.11985100,7634,161331.63600000,687631.48086800,0
1612656000000,4.32200000,5.00000000,3.90400000,4.10800000,348849.30300000,1612742399999,1489354.57342700,10461,171949.92000000,743619.67895300,0
1612742400000,4.10800000,4.88400000,4.10300000,4.56000000,343310.45800000,1612828799999,1522580.64754400,11539,164434.66900000,733237.60073800,0
1612828800000,4.54200000,4.98100000,4.38700000,4.89300000,352010.64000000,1612915199999,1644573.60510100,14324,168107.01200000,787223.32314900,0
1612915200000,4.89300000,5.42100000,4.50000000,5.38400000,482807.92500000,1613001599999,2460943.19940000,18505,242960.52000000,1246740.21805900,0
