otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.62800000,0.67700000,0.60500000,0.62000000,31291308.12700000,1609545599999,19905698.23840300,47992,16369950.91700000,10430249.07166300,0
1609545600000,0.62100000,0.62500000,0.56400000,0.61300000,29772064.42400000,1609631999999,17625878.67579100,44747,14924702.26200000,8837554.80314600,0
1609632000000,0.61300000,0.69600000,0.58600000,0.67700000,28661097.56500000,1609718399999,17895552.50439400,44517,14740425.44600000,9228132.38736500,0
1609718400000,0.67800000,0.73300000,0.58100000,0.67600000,40921744.89000000,1609804799999,26978648.42308200,63227,19295554.47300000,12717760.85867700,0
1609804800000,0.67600000,0.72800000,0.62300000,0.68800000,33393368.99400000,1609891199999,22595212.89271700,53008,17006147.34000000,11515433.57208400,0
1609891200000,0.68800000,0.78500000,0.67000000,0.73100000,40839013.43200000,1609977599999,29889046.60653600,61787,20708902.04800000,15168437.19163500,0
1609977600000,0.73200000,0.79000000,0.68200000,0.71600000,27988502.22100000,1610063999999,20520069.15326200,50382,13800317.40100000,10135138.91592100,0
1610064000000,0.71900000,0.73500000,0.62000000,0.69400000,28668551.62900000,1610150399999,19747453.27248300,50430,13987081.35700000,9658506.81790600,0
1610150400000,0.69400000,0.80000000,0.66800000,0.76700000,32447813.56900000,1610236799999,24305763.54233400,52787,17272058.60000000,12945222.27330300,0
1610236800000,0.76700000,0.84200000,0.69800000,0.75400000,35361578.81800000,1610323199999,27468270.49617300,63643,17882683.56000000,13919416.47616000,0
1610323200000,0.75300000,0.75600000,0.53100000,0.62200000,38360192.45600000,1610409599999,24325361.60198300,61235,18592722.55400000,11811656.83114500,0
1610409600000,0.62300000,0.67300000,0.59000000,0.62400000,24712083.07900000,1610495999999,15525169.77772600,34796,12211794.58200000,7680065.89157000,0
1610496000000,0.62400000,0.69300000,0.60300000,0.68700000,19267363.23600000,1610582399999,12620621.19800700,37172,9950663.43500000,6513324.39173200,0
1610582400000,0.68600000,0.80000000,0.66200000,0.79600000,23298031.35100000,1610668799999,16793910.13493800,35233,12125096.81600000,8760649.59347300,0
1610668800000,0.79800000,1.19800000,0.78600000,1.14900000,131957441.21100000,1610755199999,128748370.85969900,227167,67370433.00400000,65810953.32580800,0
1610755200000,1.14700000,1.26700000,1.03300000,1.10800000,63947616.71400000,1610841599999,74348651.77787500,141720,31669156.06000000,36857698.14895500,0
1610841600000,1.10800000,1.79000000,1.05300000,1.69100000,103861010.14500000,1610927999999,154053545.51198300,273110,52490341.66600000,77845154.68407600,0
1610928000000,1.69000000,1.78300000,1.38500000,1.60500000,49615890.70900000,1611014399999,76829157.52009400,158902,24607627.60900000,38135427.48648700,0
1611014400000,1.60500000,1.66400000,1.31100000,1.33100000,37056842.98600000,1611100799999,54561122.10372400,114228,17700820.37500000,26124754.52358600,0
1611100800000,1.33000000,1.64900000,1.25700000,1.62900000,75430620.74000000,1611187199999,108697658.11926400,169873,36672827.43900000,52864326.21993300,0
1611187200000,1.62800000,1.93000000,1.45000000,1.68100000,89243110.49300000,1611273599999,151581740.52710100,254366,43437948.33300000,73934969.12080100,0
1611273600000,1.67900000,2.13000000,1.41500000,1.96300000,82197577.26100000,1611359999999,152467226.41959900,260675,40742502.24200000,75633891.66674500,0
1611360000000,1.96500000,2.30000000,1.91100000,2.14000000,53238757.33600000,1611446399999,115429232.65728300,204915,26139581.34800000,56656439.63422600,0
1611446400000,2.13900000,2.35000000,2.03600000,2.26000000,44806191.01000000,1611532799999,98006256.16307400,158073,22462436.24300000,49201297.24591700,0
1611532800000,2.26000000,2.31100000,1.96700000,2.00500000,33849144.97400000,1611619199999,72813545.74869500,123345,15143883.14400000,32576783.09575900,0
1611619200000,2.00600000,2.24000000,1.82000000,2.14600000,43365364.47500000,1611705599999,87845003.83037200,141089,21296459.06200000,43192821.06784800,0
1611705600000,2.14600000,2.14800000,1.73600000,1.81400000,37670473.93500000,1611791999999,71348921.63823000,116917,18540952.52200000,35118343.27861500,0
1611792000000,1.81500000,2.20200000,1.75000000,2.08000000,37953063.86000000,1611878399999,75964942.82333500,116182,18799776.81300000,37638682.64527200,0
1611878400000,2.08000000,2.13100000,1.85600000,2.04600000,32202216.50000000,1611964799999,63398100.97455100,105754,16007168.70300000,31516457.76160500,0
1611964800000,2.04600000,2.67200000,1.88500000,2.54800000,47844965.90800000,1612051199999,108074670.15619200,178911,24080895.09100000,54587432.14116200,0
1612051200000,2.54800000,2.84900000,2.28200000,2.51100000,44454572.72100000,1612137599999,113597118.68655500,186410,21961295.60500000,56198565.64760700,0
1612137600000,2.51400000,2.69000000,2.30000000,2.54000000,28503115.82400000,1612223999999,70274654.62818300,123162,14136188.50800000,34845995.82927800,0
1612224000000,2.53900000,2.75600000,2.42000000,2.50000000,21751429.72100000,1612310399999,56095707.07654000,99714,10613882.20900000,27402858.17966900,0
1612310400000,2.50000000,2.70400000,2.40000000,2.63700000,22469245.51900000,1612396799999,57603015.17675900,95649,10961757.29800000,28112906.99082200,0
1612396800000,2.63700000,3.20500000,2.54600000,3.02600000,42086391.30600000,1612483199999,120542171.87986700,201728,21883174.03000000,62757925.10443200,0
1612483200000,3.02700000,3.36900000,3.02000000,3.26300000,23158239.35100000,1612569599999,74895033.35472100,138032,11568096.22200000,37436163.03028000,0
1612569600000,3.26300000,3.66600000,3.00000000,3.15000000,28137799.68600000,1612655999999,91989830.92626900,172033,14377324.64500000,47002105.42057700,0
1612656000000,3.14600000,3.19500000,2.65000000,2.98100000,20339859.27100000,1612742399999,59438638.87865800,104915,9792286.00400000,28659286.15845000,0
1612742400000,2.98000000,3.23900000,2.84900000,3.06000000,16674288.06600000,1612828799999,51056847.54061100,97564,8156306.77500000,24989267.61080700,0
1612828800000,3.06200000,3.28600000,2.93800000,3.17500000,18626001.72400000,1612915199999,57603513.55523100,101227,8682416.99500000,26905949.14060400,0
1612915200000,3.17500000,3.38500000,2.85200000,3.08700000,21519436.05000000,1613001599999,67704319.48226500,152501,10648967.58700000,33535915.54226000,0
1613001600000,3.09000000,3.57000000,3.00000000,3.56200000,18798800.19400000,1613087999999,62016792.78573600,122349,9810339.04400000,32395534.03537800,0
1613088000000,3.55900000,3.61800000,3.21100000,3.38700000,17618497.10700000,1613174399999,60746014.12734500,103882,8499334.01500000,29341510.35161100,0
1613174400000,3.38800000,3.52000000,3.12500000,3.28900000,18235541.34300000,1613260799999,60577295.50494300,106318,8859256.25100000,29408793.62395100,0
1613260800000,3.29000000,3.40700000,2.92800000,2.95500000,14147907.72100000,1613347199999,44661551.40047400,82396,6439671.35700000,20339366.52787800,0
1613347200000,2.95500000,3.01900000,2.08000000,2.71700000,29321897.79700000,1613433599999,79020918.72768100,168329,14445039.69900000,38984264.73472800,0
1613433600000,2.71900000,2.86300000,2.53800000,2.67400000,16177087.47300000,1613519999999,43937592.82174100,85049,8155035.84400000,22158530.23038400,0
1613520000000,2.67300000,2.88000000,2.48700000,2.78600000,14847197.10700000,1613606399999,39894710.11269600,77269,7615473.89800000,20453527.68758500,0
1613606400000,2.78700000,3.02600000,2.71800000,2.81100000,14049986.50200000,1613692799999,40100714.86948100,74305,6981216.50100000,19935053.74209300,0
1613692800000,2.80900000,2.87500000,2.56100000,2.63000000,14706462.72900000,1613779199999,39732879.79000800,72680,7036000.67100000,19034167.79370900,0
1613779200000,2.63100000,3.26900000,2.56400000,2.88800000,34224966.01600000,1613865599999,102126597.07007800,198787,17264290.31000000,51539584.10810300,0
1613865600000,2.88800000,3.08000000,2.81200000,2.90500000,15829873.32900000,1613951999999,46265502.80568100,91653,8191962.14100000,23947306.73895100,0
