otime,open,high,low,close,volume,ctime,quote,trades,TB Base Volume,TB Quote Volume,ignore
1609459200000,0.00567700,0.00591800,0.00560800,0.00578700,541105265.00000000,1609545599999,3115838.41383100,13169,284912251.00000000,1641014.86228700,0
1609545600000,0.00579100,0.00581500,0.00545800,0.00561500,831633802.00000000,1609631999999,4697951.01611300,18296,412664547.00000000,2333537.99274000,0
1609632000000,0.00562100,0.00580100,0.00550000,0.00572600,976336557.00000000,1609718399999,5510070.25048000,23284,477103065.00000000,2694123.51654700,0
1609718400000,0.00573200,0.00619600,0.00519300,0.00579600,1561484256.00000000,1609804799999,8960547.90716100,39394,780876213.00000000,4485618.89965000,0
1609804800000,0.00579400,0.00600000,0.00536500,0.00573900,1628316364.00000000,1609891199999,9284679.48012700,39988,835626358.00000000,4770987.19130100,0
1609891200000,0.00574000,0.00630000,0.00573400,0.00611300,1781754526.00000000,1609977599999,10726456.39929600,41799,868084497.00000000,5226488.76399100,0
1609977600000,0.00611300,0.00665300,0.00598800,0.00635300,1857829654.00000000,1610063999999,11800009.87152900,44129,904110496.00000000,5745933.87050200,0
1610064000000,0.00635800,0.00939300,0.00590000,0.00858100,6437185136.00000000,1610150399999,51667973.63154000,141741,3287100335.00000000,26372218.28603900,0
1610150400000,0.00858200,0.01354500,0.00792700,0.01134400,10103331739.00000000,1610236799999,111251684.45506500,252903,4905408103.00000000,54052504.69373500,0
1610236800000,0.01133000,0.01320400,0.00928600,0.01012300,5108548937.00000000,1610323199999,59256271.71551100,144219,2441344296.00000000,28251069.42696600,0
1610323200000,0.01012300,0.01065100,0.00800000,0.01058500,3229873731.00000000,1610409599999,28721336.48643500,83675,1573773995.00000000,14017484.84516800,0
1610409600000,0.01059100,0.01207800,0.00954500,0.01037600,3650864355.00000000,1610495999999,39491106.57598900,105091,1773311076.00000000,19194654.61901800,0
1610496000000,0.01037600,0.01310000,0.00967900,0.01254100,4234617227.00000000,1610582399999,49645761.68885100,123885,2103620081.00000000,24640987.40490200,0
1610582400000,0.01252100,0.01500700,0.01208100,0.01478000,4355343683.00000000,1610668799999,60652651.48233400,129114,2148863888.00000000,29983764.23310100,0
1610668800000,0.01476700,0.02688000,0.01475000,0.02476600,13862782376.00000000,1610755199999,291308142.20691700,509371,6881897442.00000000,144621862.93793300,0
